feature,importance
EMM_proxy_ret,367
nickel_futures_rs4,319
EMM_proxy_rz4,307
chn_electricity_ret,306
chn_electricity_rs4,270
nickel_futures_ret,266
EMM_proxy_rz8,258
EMM_proxy_rs4,250
ore_cost,240
steel_etf_rz8,238
crude_oil_rz4,231
ore_cost_ret,231
crude_oil_ret,230
usd_cny_ret,222
crude_oil_rz13,221
crude_oil_rs8,216
chn_electricity_rz4,214
ore_cost_rs8,206
chn_electricity_rs13,205
crude_oil_rs4,203
nickel_futures_rs8,203
usd_cny_rs4,201
usd_cny_rz4,200
crude_oil_rz8,200
steel_etf_rz4,197
nickel_futures_rs13,194
nickel_futures_rz8,193
EMM_proxy_rs8,192
steel_etf_ret,190
steel_etf_rs4,189
ore_cost_rs4,186
EMM_proxy_rs13,186
ore_cost_rz13,185
ore_cost_rz8,185
chn_electricity_rz8,185
EMM_proxy_lag1,181
chn_electricity_rs8,181
chn_electricity_rz13,179
EMM_proxy_rs26,177
EMM_proxy_rz13,174
usd_cny_rz8,171
usd_cny_rz13,171
ore_cost_rz4,170
usd_cny_rs13,169
crude_oil_rz26,169
steel_etf_rz26,167
steel_etf_rs8,164
nickel_futures_rz4,163
nickel_futures_rz26,160
crude_oil_rs13,156
nickel_futures_rz13,155
usd_cny_rs8,154
dry_bulk_freight_rs4,154
dry_bulk_freight_rz4,151
dry_bulk_freight_ret,149
EMM_proxy_rz26,148
chn_electricity_rz26,147
crude_oil_rs26,147
EMM_proxy_rm4,147
ore_cost_rs13,145
usd_cny_rs26,139
crude_oil,137
dry_bulk_freight,136
steel_etf_rs13,128
nickel_futures_rs26,115
nickel_futures,113
ore_cost_rz26,112
ore_cost_rs26,109
ore_energy_ratio,107
steel_etf_rz13,105
usd_cny_rz26,104
EMM_proxy_lag2,103
steel_etf,103
dry_bulk_freight_rz8,96
ore_cost_lag2,96
usd_cny,95
dry_bulk_freight_rs8,95
chn_electricity_rs26,93
week_of_yr,93
nickel_futures_lag26,93
usd_cny_lag26,93
dry_bulk_freight_rz26,93
nickel_futures_lag13,92
crude_oil_lag2,88
steel_etf_rs26,84
dry_bulk_freight_rs13,83
crude_oil_lag26,81
crude_oil_lag6,80
ore_cost_lag26,79
crude_oil_lag13,79
EMM_proxy_lag26,77
crude_oil_lag1,76
EMM_proxy_lag4,76
nickel_futures_lag1,76
usd_cny_lag13,75
dry_bulk_freight_lag26,75
ore_cost_lag4,74
EMM_proxy_lag13,74
crude_oil_lag8,73
usd_cny_lag6,72
ore_cost_lag13,72
chn_electricity,71
usd_cny_lag8,69
dry_bulk_freight_rz13,69
dry_bulk_freight_rs26,66
nickel_futures_lag8,65
nickel_futures_lag2,64
EMM_proxy_lag6,64
ore_cost_lag6,63
nickel_futures_lag6,61
chn_electricity_lag8,61
usd_cny_lag4,59
usd_cny_lag2,58
nickel_futures_lag4,55
crude_oil_lag4,55
ore_cost_lag1,54
dry_bulk_freight_lag1,53
ore_cost_rm4,53
EMM_proxy_lag8,52
dry_bulk_freight_lag13,51
chn_electricity_lag2,51
crude_oil_rm26,50
dry_bulk_freight_lag6,48
usd_cny_lag1,48
chn_electricity_lag26,47
month,46
ore_cost_lag8,46
steel_etf_lag26,45
EMM_proxy_rm13,43
dry_bulk_freight_lag2,43
steel_etf_lag8,43
dry_bulk_freight_lag8,42
chn_electricity_lag6,42
chn_electricity_lag13,41
usd_cny_rm26,40
steel_etf_lag6,40
dry_bulk_freight_rm26,40
dry_bulk_freight_lag4,38
chn_electricity_lag1,38
steel_etf_lag13,36
steel_etf_lag4,36
EMM_proxy_rm26,34
ore_cost_rm26,33
ore_cost_rm8,33
usd_cny_rm4,31
nickel_futures_rm13,30
EMM_proxy_rm8,29
ore_cost_rm13,29
nickel_futures_rm8,29
steel_etf_lag2,28
nickel_futures_rm26,27
chn_electricity_lag4,27
usd_cny_rm8,23
dry_bulk_freight_rm13,22
steel_etf_lag1,22
crude_oil_rm13,21
usd_cny_rm13,21
dry_bulk_freight_rm4,21
crude_oil_rm8,20
crude_oil_rm4,20
nickel_futures_rm4,18
steel_etf_rm4,17
dry_bulk_freight_rm8,14
steel_etf_rm13,13
chn_electricity_rm4,13
chn_electricity_rm26,12
steel_etf_rm26,11
chn_electricity_rm8,11
steel_etf_rm8,9
chn_electricity_rm13,4
cny_window,3
q4_restock,3
tariff_301_2018,1
quarter,1
tariff_301_2021,1
env_audit_2025,0
cartel_2021,0
env_audit_2021,0
cartel_2025,0
