date,predicted_index,real_price,regime_probability
2026-05-01,106.6023,204.8977,0.6637
2026-05-08,103.514,198.9617,0.6358
2026-05-15,103.7695,199.4528,0.6097
2026-05-22,103.6623,199.2466,0.5851
2026-05-29,102.0394,196.1274,0.562
2026-06-05,100.384,192.9456,0.5403
2026-06-12,97.0965,186.6267,0.5199
2026-06-19,95.8992,184.3254,0.5007
2026-06-26,96.5044,185.4887,0.4826
2026-07-03,96.2617,185.0222,0.4657
2026-07-10,95.2239,183.0274,0.4497
2026-07-17,95.4726,183.5054,0.4348
2026-07-24,95.7382,184.0159,0.4207
2026-07-31,95.9008,184.3285,0.4074
2026-08-07,96.066,184.646,0.395
2026-08-14,95.4848,183.5289,0.3833
2026-08-21,93.5225,179.7572,0.3723
2026-08-28,92.7433,178.2595,0.3619
2026-09-04,93.1046,178.9541,0.3522
2026-09-11,93.2265,179.1883,0.3431
2026-09-18,92.642,178.0649,0.3345
2026-09-25,92.395,177.5901,0.3264
2026-10-02,92.4325,177.6622,0.3189
2026-10-09,92.6976,178.1717,0.3117
2026-10-16,91.9417,176.7189,0.305
2026-10-23,90.6743,174.2829,0.2987
2026-10-30,90.2854,173.5352,0.2928
2026-11-06,89.8441,172.6871,0.2872
2026-11-13,88.3358,169.788,0.282
2026-11-20,86.7923,166.8213,0.2771
2026-11-27,85.8978,165.1021,0.2725
2026-12-04,85.061,163.4936,0.2681
2026-12-11,85.0227,163.42,0.264
2026-12-18,82.9924,159.5177,0.2602
2026-12-25,81.8874,157.3937,0.2566
2027-01-01,80.4401,154.6119,0.2532
2027-01-08,79.4205,152.6521,0.25
2027-01-15,78.627,151.127,0.247
2027-01-22,78.4894,150.8625,0.2442
2027-01-29,77.9422,149.8107,0.2415
2027-02-05,77.1711,148.3285,0.239
2027-02-12,76.7231,147.4675,0.2367
2027-02-19,76.0075,146.092,0.2345
2027-02-26,75.6587,145.4217,0.2324
2027-03-05,74.5406,143.2726,0.2305
2027-03-12,73.6502,141.5613,0.2286
2027-03-19,73.2802,140.8501,0.2269
2027-03-26,73.1708,140.6398,0.2253
2027-04-02,73.0501,140.4078,0.2238
2027-04-09,72.6653,139.6682,0.2224
2027-04-16,72.8006,139.9281,0.221
2027-04-23,71.4691,137.369,0.2198
2027-04-30,70.2498,135.0253,0.2186
2027-05-07,69.8771,134.309,0.2175
2027-05-14,69.3238,133.2455,0.2164
2027-05-21,68.6016,131.8575,0.2154
2027-05-28,67.5526,129.8412,0.2145
2027-06-04,65.9624,126.7847,0.2136
2027-06-11,65.7764,126.4272,0.2128
2027-06-18,66.1117,127.0715,0.212
2027-06-25,66.3017,127.4367,0.2113
2027-07-02,64.07,123.1473,0.2106
2027-07-09,62.8842,120.8682,0.21
2027-07-16,62.814,120.7331,0.2094
2027-07-23,63.2544,121.5797,0.2088
2027-07-30,63.7045,122.4449,0.2083
2027-08-06,64.0498,123.1084,0.2078
2027-08-13,64.1337,123.2698,0.2073
2027-08-20,64.1633,123.3267,0.2069
2027-08-27,64.3192,123.6263,0.2065
2027-09-03,64.4099,123.8006,0.2061
2027-09-10,64.3235,123.6346,0.2057
2027-09-17,64.1596,123.3195,0.2054
2027-09-24,63.7374,122.5081,0.2051
2027-10-01,63.5711,122.1884,0.2048
2027-10-08,63.6628,122.3646,0.2045
2027-10-15,63.9887,122.991,0.2042
2027-10-22,64.3709,123.7258,0.204
2027-10-29,64.4618,123.9003,0.2037
2027-11-05,64.4487,123.8753,0.2035
2027-11-12,64.3144,123.6171,0.2033
2027-11-19,64.0017,123.0161,0.2031
2027-11-26,63.7956,122.6199,0.2029
2027-12-03,63.5696,122.1856,0.2027
2027-12-10,63.6116,122.2662,0.2026
2027-12-17,63.7944,122.6175,0.2024
2027-12-24,64.3076,123.6039,0.2023
2027-12-31,64.6491,124.2604,0.2021
2028-01-07,64.7473,124.4491,0.202
2028-01-14,64.7134,124.3841,0.2019
2028-01-21,64.4551,123.8874,0.2018
2028-01-28,63.909,122.8379,0.2017
2028-02-04,63.6159,122.2745,0.2016
2028-02-11,63.4704,121.9949,0.2015
2028-02-18,63.5914,122.2273,0.2014
2028-02-25,63.8935,122.808,0.2013
2028-03-03,64.3869,123.7564,0.2012
2028-03-10,64.5713,124.1109,0.2011
2028-03-17,64.6699,124.3004,0.2011
2028-03-24,64.6524,124.2667,0.201
2028-03-31,64.555,124.0795,0.201
2028-04-07,63.9885,122.9906,0.2009
2028-04-14,63.755,122.5418,0.2008
2028-04-21,63.5824,122.2101,0.2008
